Goal,Plan,LTL,,,,,,,,1,2,3
Make Coffee in Kitchen,Fill water reservoir. Measure and add coffee grounds. Start coffee maker. Serve coffee. Clean coffee maker,"G(fill_water_reservoir ->
  X(measure_and_add_coffee_grounds ->
    X(start_coffee_maker ->
      X(serve_coffee ->
        X(clean_coffee_maker)))))",,,,,,,,,,
Pack Lunch for Work in Kitchen,Decide on lunch items. Prepare and pack food. Include necessary utensils. Pack beverage. Store in lunch bag or container,"G(decide_on_lunch_items ->
  X(prepare_and_pack_food ->
    X(include_necessary_utensils ->
      X(pack_beverage ->
        X(store_in_lunch_bag_or_container)))))
",,,,,,,,,,
Change Bed Linens in Bedroom,Remove old bed linens. Put on clean sheets. Replace pillowcases. Arrange blankets and comforter,"G(remove_old_bed_linens ->
  X(put_on_clean_sheets ->
    X(replace_pillowcases ->
      X(arrange_blankets_and_comforter)))))",,,,,,,,,,
Set Up Workstation in Home Office,Clean desk surface. Arrange computer and accessories. Set up necessary supplies. Organize cables,"G(clean_desk_surface ->
  X(arrange_computer_and_accessories ->
    X(set_up_necessary_supplies ->
      X(organize_cables)))))
",,,,,,,,,,
Clean Microwave in Kitchen,Remove loose debris. Wipe down interior with cleaner. Clean turntable. Wipe down exterior,"G(remove_loose_debris ->
  X(wipe_down_interior_with_cleaner ->
    X(clean_turntable ->
      X(wipe_down_exterior)))))
",,,,,,,,,,
Organize Bookshelf in Living Room,Remove all books. Dust shelves. Sort books by category or alphabetically. Arrange books neatly,"G(remove_all_books ->
  X(dust_shelves ->
    X(sort_books_by_category_or_alphabetically ->
      X(arrange_books_neatly))))
",,,,,,,,,,
Grocery Shopping,Create shopping list. Go to store. Select items. Pay for items. Bring items home. Unpack groceries,"G(shopping_list_created ->
  X(go_to_store ->
    X(select_items ->
      X(pay_for_items ->
        X(bring_items_home ->
          X(unpack_groceries)))))))",,,,,,,,,,
Clean Living Room,Dust surfaces. Vacuum or sweep floor. Arrange cushions and pillows. Wipe down electronics,"G(dust_surfaces ->
  X(vacuum_or_sweep_floor ->
    X(arrange_cushions_and_pillows ->
      X(wipe_down_electronics))))",,,,,,,,,,
Fold Laundry in Laundry Room,Remove dry clothes from dryer. Sort items. Fold clothes neatly. Put away folded clothes,"G(remove_dry_clothes_from_dryer ->
  X(sort_items ->
    X(fold_clothes_neatly ->
      X(put_away_folded_clothes))))",,,,,,,,,,
Prepare Dinner in Kitchen,Choose recipe. Gather ingredients. Cook according to recipe. Set table. Serve dinner. Clean up kitchen,"G(choose_recipe ->
  X(gather_ingredients ->
    X(cook_according_to_recipe ->
      X(set_table ->
        X(serve_dinner ->
          X(clean_up_kitchen)))))",,,,,,,,,,
Organize Pantry in Kitchen,Remove all items. Wipe down shelves. Sort items by category. Place items back neatly. Dispose of expired items,"G(remove_all_items ->
  X(wipe_down_shelves ->
    X(sort_items_by_category ->
      X(place_items_back_neatly ->
        X(dispose_of_expired_items)))))
",,,,,,,,,,
Refill Supplies in Kitchen,Check supply levels. Make a list of needed items. Refill supplies from storage. Dispose of empty containers,"G(check_supply_levels ->
  X(make_list_of_needed_items ->
    X(refill_supplies_from_storage ->
      X(dispose_of_empty_containers))))
",,,,,,,,,,
Pet Feeding in Kitchen,Measure food portions. Fill food bowls. Refill water bowls. Clean feeding area,"G(measure_food_portions ->
  X(fill_food_bowls ->
    X(refill_water_bowls ->
      X(clean_feeding_area))))",,,,,,,,,,
Sweep Floors in Living Room,Gather broom and dustpan. Sweep floors thoroughly. Dispose of dirt and debris. Clean broom and dustpan,"G(gather_broom_and_dustpan ->
  X(sweep_floors_thoroughly ->
    X(dispose_of_dirt_and_debris ->
      X(clean_broom_and_dustpan))))",,,,,,,,,,
Prepare Snacks in Kitchen,Choose snacks. Gather ingredients. Prepare snacks. Serve snacks. Clean up area,"G(choose_snacks ->
  X(gather_ingredients ->
    X(prepare_snacks ->
      X(serve_snacks ->
        X(clean_up_area)))))
",,,,,,,,,,
Clean Mirrors in Bathroom,Gather cleaning supplies. Spray mirror with cleaner. Wipe with cloth. Buff to shine,"G(gather_cleaning_supplies ->
  X(spray_mirror_with_cleaner ->
    X(wipe_with_cloth ->
      X(buff_to_shine))))",,,,,,,,,,
